,e1_in_ksb,e1_out_ksb,e1_error_ksb,e2_in_ksb,e2_out_ksb,e2_error_ksb,e_in_ksb,e_out_ksb,e_error_ksb,e1_in_reg,e1_out_reg,e1_error_reg,e2_in_reg,e2_out_reg,e2_error_reg,e_in_reg,e_out_reg,e_error_reg,e_in_obs_ksb,e_out_obs_ksb,e_obs_error_ksb,mag_in,mag_out,delta_mag
0,-0.12233299762010574,-0.13188587129116058,-0.00955287367105484,-0.44328194856643677,-0.4454306364059448,-0.0021486878395080566,0.45985242005623705,0.4645452990777472,0.004692879021510166,-0.1886925846338272,-0.20293200016021729,-0.014239415526390076,-0.681207001209259,-0.682661235332489,-0.0014542341232299805,0.7068577438157592,0.7121851998705859,0.005327456054826762,0.4343463864032042,0.4361542713179086,0.0018078849147044052,-4.417150169393053,-4.3767653,0.04038491823338486
1,-0.028048494830727577,-0.0030555049888789654,0.024992989841848612,0.06524219363927841,0.051353730261325836,-0.013888463377952576,0.07101592703847814,0.05144454997849701,-0.019571377059981132,-0.06596837192773819,-0.011622603051364422,0.05434576887637377,0.15096090734004974,0.12125060707330704,-0.029710300266742706,0.16474532357468444,0.12180638167737796,-0.042938941897306473,0.01769548104868942,0.01522183456153351,-0.002473646487155909,-2.735479329352631,-2.7899013,-0.054421927208648135
2,0.34587544202804565,0.2699373960494995,-0.07593804597854614,0.13677965104579926,0.005588377360254526,-0.13119127368554473,0.3719388314471972,0.26999523652743385,-0.10194359491976335,0.7173579931259155,0.6359722018241882,-0.0813857913017273,0.28480732440948486,0.005975507665425539,-0.2788318167440593,0.7718275081512258,0.6360002737302599,-0.1358272344209659,0.09237633827345614,0.06228942515363709,-0.030086913119819043,-2.628839958924045,-2.6248157,0.004024256485690714
3,0.20964357256889343,0.16718514263629913,-0.0424584299325943,0.333495169878006,0.30844366550445557,-0.025051504373550415,0.39391554405914087,0.35083951702757793,-0.043076027031562936,0.38994452357292175,0.3118210434913635,-0.07812348008155823,0.6245052218437195,0.5947713255882263,-0.029733896255493164,0.7362496204240694,0.6715543856650917,-0.06469523475897765,0.15059879428233136,0.15297750648350378,0.002378712201172417,-3.9448915044713657,-4.0010653,-0.056173749740060064
4,0.005843973718583584,2.6844529202207923e-05,-0.005817129189381376,-0.004285434260964394,0.002483724383637309,0.006769158644601703,0.007246859708076532,0.0024838694495932386,-0.004762990258483294,0.01190901268273592,-0.000314631121000275,-0.012223643803736195,-0.008801525458693504,0.005338933784514666,0.01414045924320817,0.014808491937992703,0.005348196583684446,-0.009460295354308257,0.011475875248266989,0.0042488661642625875,-0.007227009084004401,-3.8284262788850243,-3.824431,0.003995336349623901
5,-0.006213941145688295,-0.044894710183143616,-0.03868076903745532,-0.08460325002670288,-0.10737056285142899,-0.022767312824726105,0.08483114392511089,0.11637857521666573,0.03154743129155484,-0.014614822342991829,-0.10081593692302704,-0.08620111458003521,-0.1886233687400818,-0.24324680864810944,-0.05462343990802765,0.18918871072813534,0.26331134243544796,0.07412263170731262,0.03482949973340272,0.04529818214798663,0.010468682414583909,-2.8715027274287848,-2.9064436,-0.034940868457445706
6,0.07760623842477798,0.10586770623922348,0.028261467814445496,-0.04604008048772812,-0.07024683058261871,-0.024206750094890594,0.09023534370611092,0.12705348649784332,0.0368181427917324,0.16463230550289154,0.22452352941036224,0.0598912239074707,-0.09805072844028473,-0.14818601310253143,-0.050135284662246704,0.1916187395921074,0.2690165603417556,0.07739782074964818,0.06543208846080747,0.08562655843123321,0.020194469970425732,-3.441449755468009,-3.4035664,0.03788339499437621
7,-0.11062606424093246,-0.1427621841430664,-0.03213611990213394,0.022661490365862846,0.03455186262726784,0.011890372261404991,0.11292328916145249,0.14688387396958316,0.033960584808130675,-0.23367591202259064,-0.2962428033351898,-0.06256689131259918,0.04782430827617645,0.07021252065896988,0.022388212382793427,0.2385195931609902,0.3044496618247066,0.06593006866371642,0.06651579856828604,0.09164341477360383,0.025127616205317782,-5.047064894858673,-5.040031,0.0070339385903626095
8,0.01103864423930645,0.02631596475839615,0.015277320519089699,-0.04369254410266876,-0.07265369594097137,-0.028961151838302612,0.045065397777070915,0.07727282533367257,0.03220742755660165,0.02393498085439205,0.05792497470974922,0.03398999385535717,-0.09629303961992264,-0.15825900435447693,-0.06196596473455429,0.09922314643138518,0.16852660073233375,0.06930345430094857,0.024535773400686075,0.04172535984423143,0.017189586443545356,-3.087326555995551,-3.112815,-0.025488347263726396
9,-0.11525700986385345,-0.1207951158285141,-0.0055381059646606445,0.13337644934654236,0.13905653357505798,0.005680084228515625,0.1762766449733123,0.1841960356194871,0.007919390646174806,-0.22698646783828735,-0.241829976439476,-0.01484350860118866,0.26247638463974,0.27578967809677124,0.01331329345703125,0.3470111079998025,0.36679924216039245,0.019788134160589943,0.13325909840563327,0.1314660271503765,-0.0017930712552567674,-4.369345987877864,-4.3100166,0.059329355797785865
10,0.3007678687572479,0.32632893323898315,0.02556106448173523,-0.6816322803497314,-0.7361884713172913,-0.054556190967559814,0.7450395133760034,0.8052726482188396,0.06023313484283621,0.3627055287361145,0.37986454367637634,0.01715901494026184,-0.8251458406448364,-0.8577262759208679,-0.032580435276031494,0.9013439736910754,0.9380785872982831,0.036734613607207645,0.47666852330686,0.4733740447962852,-0.0032944785105747942,-4.617036385897702,-4.615749,0.0012875036040007615
11,-0.028533438220620155,-0.04850190132856369,-0.019968463107943535,-0.005207348614931107,0.0015384089201688766,0.006745757535099983,0.02900471644900829,0.048526293228428066,0.019521576779419778,-0.06388896703720093,-0.10898184776306152,-0.045092880725860596,-0.011577383615076542,0.0034341157879680395,0.015011499403044581,0.06492946881386902,0.10903594037332962,0.0441064715594606,0.007838049352770276,0.016299132907796776,0.0084610835550265,-4.055390893729565,-4.048521,0.006869851859447884
12,-0.0976598709821701,-0.1321532428264618,-0.03449337184429169,-0.11115412414073944,-0.1421387642621994,-0.03098464012145996,0.14796178463964615,0.19408221942139592,0.046120434781749764,-0.2006499171257019,-0.26695743203163147,-0.06630751490592957,-0.22778800129890442,-0.28266701102256775,-0.05487900972366333,0.30355849976289695,0.3888018899611415,0.08524339019824456,0.1191123395777781,0.14669791586044706,0.027585576282668958,-3.1845073844574436,-3.1707873,0.013720050015304963
13,-0.05376480147242546,-0.07516349107027054,-0.021398689597845078,0.08425747603178024,0.07549247145652771,-0.008765004575252533,0.09994986815706834,0.10653010671394866,0.006580238556880322,-0.12385260313749313,-0.17311237752437592,-0.04925977438688278,0.19239144027233124,0.17050834000110626,-0.021883100271224976,0.2288098197062254,0.24298351644108476,0.014173696734859353,0.0277017457650874,0.03061432533861241,0.0029125795735250107,-3.357674412391331,-3.3295,0.02817445244565242
14,0.004089843016117811,-0.030652031302452087,-0.0347418743185699,-0.10533185303211212,-0.10239841789007187,0.0029334351420402527,0.10541122368645074,0.10688771215325124,0.001476488466800499,0.008088401518762112,-0.06903466582298279,-0.0771230673417449,-0.21945308148860931,-0.21687160432338715,0.002581477165222168,0.2196020883643298,0.22759410767216867,0.007992019307838882,0.06587095367081515,0.05366037945338509,-0.012210574217430062,-6.147748831282191,-6.1788216,-0.031072732438512496
15,-0.010211856104433537,0.011195878498256207,0.021407734602689743,0.015464176423847675,0.07750946283340454,0.062045286409556866,0.018531669044248085,0.07831388461869732,0.05978221557444923,-0.02603159099817276,0.018218133598566055,0.044249724596738815,0.03830873221158981,0.18546901643276215,0.14716028422117233,0.04631633290271854,0.18636162815437998,0.14004529525166143,0.005648984005675058,0.018164502029585642,0.012515518023910585,-3.1236040575431994,-3.1132045,0.010399578325670067
16,-0.02110709622502327,-0.016070250421762466,0.005036845803260803,-0.018138151615858078,-0.05338093638420105,-0.03524278476834297,0.027829877022585756,0.05574744225408262,0.02791756523149686,-0.046774305403232574,-0.036350008100271225,0.01042429730296135,-0.039701398462057114,-0.11695815622806549,-0.07725675776600838,0.061351745580691536,0.122476664704581,0.06112491912388947,0.013512328730990989,0.03189001334069627,0.018377684609705285,-2.9885361861588304,-2.9394264,0.04910976403968981
17,0.07090172171592712,0.09361431747674942,0.022712595760822296,0.02296414040029049,0.023860016837716103,0.0008958764374256134,0.07452788663719793,0.09660714694127825,0.02207926030408032,0.14860881865024567,0.19400867819786072,0.04539985954761505,0.04828743636608124,0.05035192891955376,0.002064492553472519,0.15625702381470713,0.2004362341544085,0.044179210339701375,0.06295220458753992,0.08129937295141233,0.018347168363872415,-4.1579485480104275,-4.1247025,0.03324609439714621
18,0.014434040524065495,-0.04256199300289154,-0.056996033526957035,-0.0014546054881066084,0.012936221435666084,0.014390826923772693,0.014507150063895899,0.04448448126493974,0.029977331201043844,0.031925659626722336,-0.09593501687049866,-0.127860676497221,-0.003337013302370906,0.029201364144682884,0.03253837744705379,0.03209958567305081,0.100280841290115,0.06818125561706419,0.014836047666349985,0.008820902851253698,-0.006015144815096287,-3.031780304859055,-3.157625,-0.1258446550866239
