,e1_out_mean,e2_out_mean,e1_out_std,e2_out_std
0,0.2366209,-0.5966562,0.03428261,0.036555942
1,0.006744977,0.0039205775,0.088795565,0.07513742
2,-0.42819577,0.3436393,0.23460874,0.214465
3,-0.31385309,0.5039098,0.0662897,0.065900214
4,-0.04396069,-0.02320806,0.0337708,0.028077088
5,0.022595726,-0.36788812,0.14330514,0.16493398
6,-0.060819454,-0.044263706,0.038786404,0.036563933
7,0.1588764,0.04637889,0.044820495,0.035761353
8,-0.09569964,-0.021347873,0.11330644,0.106490925
9,0.20025736,0.23736404,0.039347816,0.034658674
10,-0.4657569,-0.6855576,0.045722965,0.047016144
11,0.07634807,-0.15759379,0.069388844,0.058172908
12,0.105238676,-0.20948875,0.06825255,0.0560664
13,-0.23574656,-0.028508522,0.18381672,0.14983585
14,-0.025636343,-0.20938474,0.025808705,0.02368259
15,-0.011882346,-0.01493936,0.07133738,0.08240145
16,-0.08443969,-0.034162194,0.113658145,0.089782424
17,-0.06429598,0.21638191,0.048627872,0.04236764
18,0.19881517,-0.20557049,0.10154023,0.088066354
19,0.5917654,0.07483597,0.13614054,0.11887657
20,0.169702,-0.15968287,0.032508686,0.026697993
21,-0.09456368,-0.21291482,0.12564363,0.119175926
22,-0.05110448,-0.04838483,0.08010192,0.07690445
23,0.031712767,0.305815,0.20713717,0.17878121
24,-0.021672,-0.004520774,0.054972645,0.042362723
25,0.033144657,-0.027732305,0.03666898,0.029513745
26,0.037374366,0.2825722,0.13196284,0.13202022
27,-0.2227151,-0.0018660799,0.045614887,0.03754625
28,-0.008508662,-0.079757065,0.066638395,0.05753965
29,0.0026456937,0.036541127,0.059064873,0.059055
30,-0.0881774,0.054191656,0.080254205,0.068636484
31,0.013008557,-0.10895027,0.06421591,0.060888875
32,0.14089616,-0.4546688,0.08328926,0.0750754
33,-0.18284577,-0.006958872,0.06186959,0.046136633
34,0.16502705,0.20386842,0.06311032,0.054690897
35,-0.33784345,-0.18375695,0.21158,0.18620136
36,-0.26590303,0.3886152,0.033778634,0.02929216
37,0.06837371,0.4991661,0.053264007,0.061435826
38,0.5593706,-0.031743795,0.049651816,0.038453694
39,0.12161942,0.022220418,0.03298182,0.027206993
40,0.07652897,-0.44948652,0.10738288,0.091981664
41,-0.0051575825,-0.103308916,0.036952674,0.03101102
42,0.25337648,0.121171445,0.37089902,0.42593876
43,-0.15411986,0.12227052,0.048644453,0.044523466
44,0.114419326,-0.1983132,0.19525439,0.20544173
45,-0.0848909,0.18106416,0.18906379,0.20233057
46,-0.15524438,-0.038948357,0.03031188,0.02495353
47,0.07715993,-0.17197683,0.041870307,0.037428692
48,0.023484316,-0.27982923,0.12887666,0.12791564
49,0.10489653,-0.39250687,0.035632346,0.03792257
50,-0.24065386,-0.011638291,0.046139,0.05199192
51,0.013945568,0.011744462,0.03345046,0.02758723
52,0.00082853064,-0.08891326,0.07700585,0.06674855
53,0.09023687,-0.07882884,0.044772383,0.035798788
54,-0.07017184,-0.3253522,0.063538656,0.07039585
55,-0.14978117,-0.6326014,0.03592231,0.046234977
56,0.105985224,0.050084155,0.09509899,0.07318588
57,-0.018859725,-0.0063322857,0.03543043,0.030164346
58,0.022627864,0.03057047,0.062314592,0.047509663
59,-0.0052377563,-0.047180623,0.03834596,0.030058658
60,-0.39655468,-0.46247974,0.067020975,0.07334203
61,0.047993932,0.2016205,0.17264578,0.17734265
62,0.015235588,0.21465936,0.06793137,0.070233874
63,0.0065654814,-0.049515232,0.03434332,0.027739977
64,0.25475428,-0.7264805,0.09205765,0.09389288
65,0.34393492,0.13834472,0.33582738,0.2370178
66,0.0016916655,-0.19810513,0.031012591,0.02794659
