,Unnamed: 0,e1_in_ksb,e1_out_ksb,e1_error_ksb,e2_in_ksb,e2_out_ksb,e2_error_ksb,e_in_ksb,e_out_ksb,e_error_ksb,e1_in_reg,e1_out_reg,e1_error_reg,e2_in_reg,e2_out_reg,e2_error_reg,e_in_reg,e_out_reg,e_error_reg,e_in_obs_ksb,e_out_obs_ksb,e_obs_error_ksb,mag_in,mag_out,delta_mag
0,0,-0.12233299762010574,-0.1240147054195404,-0.0016817077994346619,-0.4432819485664368,-0.4206826388835907,0.02259930968284607,0.459852420056237,0.43858126934281744,-0.021271150713419614,-0.1886925846338272,-0.19608576595783234,-0.007393181324005127,-0.681207001209259,-0.6587095856666565,0.02249741554260254,0.7068577438157592,0.6872757422318992,-0.01958200158385992,0.4343463864032042,0.4256216481643627,-0.008724738238841512,-4.417150169393053,-4.3734875,0.04366269685887314
1,1,-0.028048494830727574,-0.0231319610029459,0.004916533827781677,0.06524219363927841,-0.01561782229691744,-0.08086001593619585,0.07101592703847814,0.027910643008356176,-0.04310528403012197,-0.06596837192773819,-0.0550275519490242,0.010940819978713991,0.15096090734004974,-0.03631468117237091,-0.18727558851242065,0.16474532357468444,0.06593017171336282,-0.09881515186132163,0.01769548104868942,0.006868555422536965,-0.010826925626152454,-2.735479329352631,-2.7725362999999996,-0.03705694841836493
2,2,0.34587544202804565,0.31485629081726074,-0.031019151210784912,0.13677965104579926,0.11900967359542848,-0.017769977450370792,0.3719388314471972,0.3365973652251216,-0.035341466222075624,0.7173579931259155,0.6678783297538757,-0.0494796633720398,0.2848073244094849,0.25972720980644226,-0.025080114603042603,0.7718275081512258,0.7166028794727708,-0.05522462867845501,0.09237633827345614,0.09610515528531396,0.0037288170118578295,-2.6288399589240448,-2.590434,0.03840588452218974
3,3,0.20964357256889346,0.16336409747600555,-0.04627947509288788,0.33349516987800604,0.2559943497180939,-0.07750082015991211,0.3939155440591409,0.30367900064334313,-0.09023654341579772,0.38994452357292175,0.3195489346981049,-0.0703955888748169,0.6245052218437195,0.5073419213294983,-0.1171633005142212,0.7362496204240694,0.5995893151191076,-0.13666030530496176,0.15059879428233136,0.13491725331186682,-0.015681540970464536,-3.9448915044713657,-3.9051332000000003,0.039758257095877436
4,4,0.005843973718583585,0.005120206158608197,-0.0007237675599753858,-0.004285434260964394,-0.005819397047162056,-0.0015339627861976626,0.007246859708076531,0.007751251066709669,0.0005043913586331369,0.01190901268273592,0.010459532029926777,-0.001449480652809143,-0.008801525458693504,-0.011731983162462713,-0.002930457703769207,0.014808491937992703,0.015717545584771585,0.000909053646778882,0.011475875248266987,0.011642564095093956,0.00016668884682696786,-3.828426278885024,-3.8309083,-0.0024820196074073486
5,5,-0.006213941145688295,-0.005144947208464146,0.0010689939372241497,-0.08460325002670288,-0.11779968440532684,-0.03319643437862396,0.08483114392511089,0.1179119846655652,0.033080840740454316,-0.014614822342991829,-0.012918218970298769,0.0016966033726930616,-0.1886233687400818,-0.259768009185791,-0.07114464044570923,0.1891887107281353,0.2600890212556343,0.07090031052749897,0.03482949973340272,0.050968095521662975,0.016138595788260254,-2.8715027274287848,-2.8050041,0.06649860755573789
6,6,0.07760623842477797,0.12075386941432953,0.04314763098955154,-0.04604008048772812,-0.058906521648168564,-0.012866441160440443,0.09023534370611093,0.13435577870422655,0.04412043499811566,0.16463230550289154,0.2517498731613159,0.08711756765842438,-0.09805072844028473,-0.12286750227212904,-0.02481677383184433,0.1916187395921074,0.2801328644613664,0.08851412486925903,0.06543208846080747,0.09569502102981244,0.030262932569004974,-3.4414497554680086,-3.3946369,0.046812886037467034
7,7,-0.11062606424093246,-0.14549574255943298,-0.03486967831850052,0.022661490365862846,0.019557315856218338,-0.003104174509644509,0.11292328916145247,0.1468042904905054,0.033881001329052904,-0.23367591202259064,-0.3031326532363892,-0.06945674121379852,0.04782430827617645,0.0403314009308815,-0.0074929073452949515,0.2385195931609902,0.3058039034400648,0.06728431027907461,0.06651579856828604,0.08612953607698041,0.019613737508694367,-5.047064894858672,-5.0546975,-0.007632618721649109
8,8,0.01103864423930645,-0.009195924736559393,-0.02023456897586584,-0.04369254410266876,-0.038940925151109695,0.004751618951559067,0.04506539777707092,0.04001200674028725,-0.005053391036783664,0.02393498085439205,-0.020825471729040142,-0.0447604525834322,-0.09629303961992264,-0.08494284749031067,0.011350192129611969,0.09922314643138518,0.08745849079705885,-0.011764655634326326,0.024535773400686075,0.020426538875755056,-0.004109234524931019,-3.0873265559955514,-3.0418572,0.04546931341132243
9,9,-0.11525700986385345,-0.13631068170070648,-0.021053671836853027,0.13337644934654236,0.15008863806724548,0.016712188720703125,0.1762766449733123,0.20274910905498925,0.026472464081676944,-0.2269864678382873,-0.2680123746395111,-0.04102590680122376,0.26247638463974,0.29351893067359924,0.03104254603385925,0.3470111079998025,0.39747200608808014,0.05046089808827764,0.13325909840563327,0.14955827248566553,0.016299174080032258,-4.369345987877864,-4.3211116999999994,0.04823430880071555
10,10,0.3007678687572479,0.2954924702644348,-0.00527539849281311,-0.6816322803497314,-0.6625345945358276,0.01909768581390381,0.7450395133760034,0.7254432361940742,-0.01959627718192913,0.3627055287361145,0.36200812458992,-0.000697404146194458,-0.8251458406448364,-0.8138619661331177,0.01128387451171875,0.9013439736910754,0.8907419279382638,-0.01060204575281165,0.47666852330685994,0.473960871650156,-0.002707651656704002,-4.617036385897702,-4.6316357,-0.014599279995852752
11,11,-0.028533438220620155,-0.054373826831579215,-0.025840388610959053,-0.0052073486149311074,-0.012651757337152958,-0.007444408722221851,0.02900471644900829,0.05582633794212877,0.026821621493120486,-0.06388896703720093,-0.12299631536006927,-0.05910734832286835,-0.011577383615076542,-0.02716935984790325,-0.01559197623282671,0.06492946881386903,0.12596137386793807,0.06103190505406905,0.007838049352770276,0.01969245047655884,0.011854401123788563,-4.055390893729565,-4.045474,0.009916841300365851
12,12,-0.0976598709821701,-0.11401908099651335,-0.016359210014343258,-0.11115412414073944,-0.11877206712961196,-0.007617942988872528,0.14796178463964615,0.16464250593795798,0.016680721298311833,-0.2006499171257019,-0.2332886010408401,-0.032638683915138245,-0.2277880012989044,-0.2425757497549057,-0.014787748456001282,0.3035584997628969,0.3365509853569693,0.032992485594072314,0.1191123395777781,0.12745575874519682,0.008343419167418722,-3.184507384457444,-3.1710762999999997,0.013431086697433871
13,13,-0.05376480147242546,0.008561386726796627,0.06232618819922209,0.08425747603178024,0.06159023568034173,-0.02266724035143852,0.09994986815706834,0.06218242897994423,-0.037767439177124114,-0.12385260313749312,0.01771353930234909,0.14156614243984222,0.19239144027233124,0.1395006626844406,-0.05289077758789063,0.2288098197062254,0.14062078211990556,-0.08818903758631985,0.0277017457650874,0.02155642172978784,-0.006145324035299559,-3.357674412391331,-3.3654497,-0.00777525458559758
