,e1_out_mean,e2_out_mean,e1_out_std,e2_out_std,z_out_mean,z_out_std
0,0.23872272422347152,0.15952297070544746,0.14687438067688768,0.15115194248633004,0.8946375438065489,0.051639239303654494
1,0.49013116810084373,0.6676408413425892,0.0970007133876804,0.08568055454616004,0.4862003269112869,0.057201962731757906
2,0.23956106306250471,0.7110631234354711,0.05102398158284522,0.040736737871610945,0.9623780098150536,0.04104914864528157
3,-0.05698479025483593,-0.09766397358789972,0.05970649747969154,0.06076037432788817,0.7740493877385421,0.04404719300171728
4,-0.052057608089448384,-0.15701577007686876,0.13384441716218465,0.1416193139357868,0.7259277503848568,0.04787308051840452
5,-0.1288812745359763,0.470710746237622,0.14817672823486522,0.1733795777549801,1.5471096890921627,0.1975110049629623
6,0.1831267899168096,0.05072470462963995,0.06393089878500849,0.05813235343942412,0.1328547080174805,0.10179022105066524
7,-0.012860077275459078,0.0408938960439718,0.04710542709852153,0.033583705151685316,0.581524099719613,0.0493571430680683
8,0.007932780416580455,0.04047720508574383,0.020184212947458962,0.017007041275940105,0.17105432827302264,0.046857300663036644
9,-0.2617377621846097,-0.21396407706772005,0.12344937873983242,0.10649806649669585,1.216335419528714,0.1322650126436749
10,-0.03157724926839058,-0.009201513585912868,0.06691642093663946,0.048781941704565374,0.9274692211833934,0.046155146478242724
11,0.0012610753013076864,0.031913361605514265,0.12820089789638386,0.14584418658176376,1.2790505377583647,0.1227419911974112
12,-0.3227370022282483,-0.2790763612255263,0.06916012884766412,0.057962164789804926,0.6088926749617243,0.05856974541105358
13,-0.17077790597436335,-0.18360789069765204,0.1148366853333923,0.1347387134936406,0.3263442276819567,0.28629664878794425
14,0.2336685474541559,0.31745325028117927,0.14515543352381755,0.12199050295057806,1.6166457888131054,0.19513962548911343
15,0.023300488607570512,0.04866407291999637,0.10087096677902986,0.08643284530089304,1.547214804244887,0.18816079435212787
16,-0.012026562556382672,-0.034003043001567354,0.06794303582522596,0.06270620622035675,1.2805300762452942,0.18896796855053508
17,0.00553995049992849,0.009905087063565588,0.06923194004338241,0.07203303096288963,0.40004332516780394,0.09443736481414798
18,-0.42807471080725595,-0.09372378152995439,0.03756567086507686,0.022995906590000205,0.47994998114405674,0.038757574067371875
19,0.004751074572012335,0.0033489100089318224,0.04527787852292461,0.038119292366995475,0.4226842273727565,0.052278831691934945
20,0.21988126290100307,-0.2223198200995234,0.039178690360378556,0.03534036142229255,0.3572628949027056,0.058398339322524154
21,0.10507448401439176,-0.14125688770403627,0.06568981856735417,0.056661565647146785,0.2543480088456607,0.08462860801072712
22,0.06920479328726009,-0.17393488903766952,0.12389418168428623,0.142938507489395,1.1410782312914391,0.07746011610448471
23,0.12312522095886724,-0.05889582704618989,0.04335649937247517,0.02440757919620095,0.6582125371260527,0.03841637137750424
24,0.03382113713757183,-0.7765017836758167,0.08667563825383683,0.07381765426476855,0.575161189045319,0.0944687932131218
25,0.0004575583829017928,-0.013164470702236518,0.029478717190883102,0.02762018787268857,0.4004006670169721,0.05673902535510586
26,0.07734453702057008,-0.01558935971122928,0.09740996276546851,0.09592203653220989,0.887293861217469,0.05040613552487944
27,0.1465111985972303,-0.001902229435584506,0.02492063586752871,0.015175788037326545,0.3513027682566837,0.051192386074723734
28,0.2931419965800884,-0.30878960979393094,0.0917342496739153,0.09636941609183872,0.6999734704938199,0.04678372369562967
29,-0.030989592751051596,0.0453762722862146,0.06327137977019553,0.06605826259932468,0.8627048329074289,0.04180338359909836
30,-0.19919305364107384,-0.0875420566042579,0.04390973828163499,0.029315369449403876,0.5389412976871344,0.0410730668285724
31,-0.05183503763964451,0.07901457430081948,0.09700028679002622,0.08479135740855052,1.4488899980153327,0.17856393307954146
32,0.20820447924621807,-0.11249273851708037,0.1014054393536629,0.09353697701196086,0.8183694667992693,0.048770763137636404
33,-0.06796619870005922,-0.02276298709923414,0.16763327344788662,0.16553570507524537,0.31131189343538646,0.09798160979172298
34,0.803096210274272,0.1676002683583459,0.03522405551045228,0.032517994015071564,0.6755332266516735,0.04608917154894465
35,-0.4429439302801658,0.19802425833028417,0.03743326643869224,0.028353122363304433,0.3279151230851873,0.07929025192326583
36,0.0006570484496895175,-0.08719975852117376,0.08089259396151077,0.08266626039685324,1.4142382697603832,0.11381456882644396
37,0.016663626530269975,0.04763395560640591,0.07419965686699984,0.07790011297506812,1.084215010151749,0.07170561828545416
38,0.07334798462051113,-0.0002912832983808268,0.047962611838135515,0.03931578495919474,0.4483569530989291,0.06647123791208508
39,0.2168371686538585,-0.06974050027924374,0.1650539502100477,0.10852820011131516,1.6002740802518651,0.2297464104646178
40,0.31749241560728364,-0.24167006324485948,0.07586366572098976,0.07425466390077516,0.27613205114725997,0.08555239206326064
41,-0.016299533928451338,-0.029684101712094055,0.051381150285919504,0.034014395694879636,1.0326411033579252,0.04526657667162534
42,-0.00837933238817047,-0.026214214365590308,0.06276901728578825,0.049782634970782606,1.0689824654890836,0.07742241132218378
43,-0.036468169878054034,-0.03700002921731627,0.09908535979097545,0.0748721768857956,1.5885221545665473,0.1925228612776902
44,-0.6370982712391168,0.03399386123358277,0.0688938643252105,0.052058280637511084,0.9441351124485343,0.044563512493386435
45,-0.03673956048072768,0.05826481699622339,0.09254823583082986,0.09212120825440588,0.18741767608646098,0.07440752712685587
46,-0.3443536673784599,-0.6070791839527022,0.03228484352585504,0.032320408926558755,0.2747280636891948,0.08357287086979572
47,-0.23917413552051708,-0.5475509187224012,0.057620026126422454,0.04900238629157579,0.7802161702715069,0.052719984947910616
48,0.04535683749771814,-0.015768962199841724,0.1385166812097707,0.12986034979363087,0.9742696715987881,0.09243754382521578
49,0.015231219144031074,0.1869442244339959,0.05544626180062017,0.05294642607336999,0.7739130138550215,0.053827156190663375
50,-0.007072948683636817,0.021749856021531296,0.05575976310979214,0.032898476933470915,1.1071499184262779,0.09150440589577506
51,0.31736312196894767,0.0995199750709309,0.11067092892704049,0.09871808275844325,0.31397955885632617,0.11212812280526188
52,0.025601051985271146,0.020823005422639825,0.09301339015198966,0.0780317230954395,1.43685420604348,0.1884648901337611
53,-0.1495084855046345,0.295821604587006,0.11750950332708514,0.13415974825179228,0.916852498546415,0.043870825539777586
54,-0.5626548027568951,-0.02349663599675384,0.046944135931145485,0.03458038496602133,0.32320347582923753,0.08954516864629812
55,-0.2253820807370487,-0.43216330918834095,0.05356425697629435,0.06307438974463013,0.4219837354294348,0.0627850662070985
56,0.1924506639430443,0.3683716935485331,0.05963387713649941,0.060741252092643104,0.22566244993961065,0.11699437467694357
57,-0.007394885116296942,-0.14336751486658034,0.12821491604388027,0.16037887672984133,0.20029290339471717,0.10477511425410727
58,-0.0040143108794784225,-0.0802014105161069,0.08960673534215711,0.10210369487395374,0.42631707776606365,0.06988304141968363
59,-0.02320728085780935,0.05731908070916002,0.03245554055285903,0.022389599574207917,0.7281938250898251,0.037189090616261425
60,-0.5776390909225824,0.4539141036865752,0.125995745906978,0.1079241761048435,0.37579648075991173,0.08592830095124854
61,-0.08818241666292392,0.13348056306482037,0.04507730992547242,0.03581578801532229,0.582165919114716,0.08650208575346945
62,-0.08914416979986237,0.006535516019289657,0.08280499995459024,0.05947064869797598,1.3469640515065637,0.058081053127550436
63,-0.15379940130179753,-0.29583161393286916,0.06277509526365134,0.05735391022947944,0.7289681427016851,0.04225458595327561
64,0.2150061407246823,0.08354527428545795,0.08859139370208084,0.04576094896868488,1.1954379130197101,0.07073260737561435
65,-0.2908401350271622,0.20979737373519702,0.10688479420831681,0.0704511282950007,1.3516732449866908,0.09058521311305824
66,0.255866683942432,0.11703113714580683,0.027746720099474854,0.022272176567804145,0.09369662963444263,0.06381160943019507
67,-0.36758330588445776,0.1663369506706299,0.14770319245566238,0.12835383058564767,0.4201868809028982,0.07548320871554376
68,-0.47184162761321063,-0.27138743776425794,0.06443563912269601,0.056346330071489675,0.6595421984700852,0.04501082291750455
69,0.4104321385150904,-0.01790416552601791,0.09758299382987543,0.06580162442092989,0.43342000673009184,0.07008087777706222
70,0.1534793709302806,0.003783760079487797,0.026064492128700913,0.0184666453153047,0.28921854622916615,0.05139714721994386
71,0.11064518439837961,-0.17302775263691464,0.05978114696898811,0.036746898762621556,1.067955683062426,0.07651858287610153
