,e1_out_mean,e2_out_mean,e1_out_std,e2_out_std
0,-0.08742477,0.24235116,0.06311961,0.055589423
1,0.5962391,-0.19202025,0.0562508,0.042844336
2,0.64948416,-0.23923902,0.10594245,0.088238515
3,0.058608904,0.093673214,0.123342946,0.12373486
4,-0.05229695,0.03708141,0.06967497,0.07104344
5,0.4127188,-0.023668814,0.08253775,0.069353744
6,0.066403516,-0.1062496,0.16861199,0.14936528
7,-0.23180453,-0.12818238,0.11016748,0.100680396
8,0.06449604,-0.13548744,0.039171644,0.037066914
9,-0.11580535,-0.2822972,0.10977522,0.1027249
10,0.08161444,-0.1330339,0.08194495,0.08183261
11,-0.5041867,-0.08564852,0.050809555,0.041919865
12,-0.2735257,0.533775,0.071490675,0.080113985
13,-0.05332405,-0.17046477,0.11023155,0.098966256
14,0.14165974,0.27048036,0.045509752,0.04339557
15,0.10537249,0.46275118,0.14236295,0.14974841
16,0.12881021,-0.014701874,0.097897105,0.10722374
17,0.2596862,0.32663912,0.05985432,0.05903184
18,-0.31305924,-1.0146112,0.055672426,0.10446843
19,-0.1934116,-0.04615859,0.17665546,0.16306381
20,0.111142956,0.021007534,0.118527725,0.112196214
21,-0.041366383,0.09827757,0.1812657,0.21099742
22,0.037435926,0.10833775,0.081269145,0.06855706
23,-0.38873807,0.24464898,0.23217674,0.23269823
24,-0.3138041,0.23849489,0.21074599,0.20679513
25,0.025057912,-0.14004333,0.04864082,0.049147222
26,-0.0106687015,0.059648585,0.044051826,0.037636414
27,-0.039600097,-0.06370126,0.13389497,0.13209935
28,0.17660278,-0.14855628,0.07214428,0.06673778
29,0.31938142,0.073312104,0.10559145,0.099042624
30,-0.15462448,-0.07287284,0.11424225,0.116100356
31,0.13405088,0.13280623,0.07226217,0.065541685
32,0.13883749,0.3089997,0.14538077,0.14508508
33,-0.9414008,0.1625296,0.0922441,0.06987344
34,-0.00011805352,0.15035163,0.07540524,0.05676902
35,-0.28978047,-0.75145566,0.14470783,0.1477786
36,0.27246916,0.09004304,0.1391538,0.117422916
37,0.45640123,-0.6110863,0.059906982,0.06918053
38,-0.13975964,-0.05070394,0.041812915,0.03610172
39,0.1642582,0.11747573,0.09190596,0.09158337
40,0.16950293,0.1863609,0.04052257,0.03777199
41,0.3144771,-0.22480917,0.15661453,0.11345173
42,0.33505604,0.04943144,0.08231501,0.06736299
43,0.5728766,-0.21530943,0.07806963,0.048328467
44,-0.12315719,-0.03425767,0.067131,0.05349214
45,0.19462794,-0.2141351,0.21769588,0.23239587
46,-0.016104005,-0.2362658,0.044647332,0.03948105
47,0.103915736,0.049144108,0.07550008,0.055080812
48,0.44842383,-0.27649534,0.084598914,0.0626709
49,0.12642334,-0.058348935,0.20364796,0.19089083
50,-0.33495438,-0.028820228,0.13948731,0.11708347
51,0.10067725,-0.12596415,0.10391037,0.10373305
52,0.30884615,-0.28178322,0.04241239,0.033492204
53,-0.3555704,-0.28920892,0.17388824,0.13815041
54,0.003989448,0.14122449,0.08098522,0.07540706
55,0.0008780034,-0.04415283,0.05160815,0.048996035
56,0.17141296,-0.28203455,0.04364062,0.034132417
57,-0.25408655,0.26354647,0.3006022,0.32368937
58,-0.17698802,0.19825138,0.17754371,0.16038592
59,0.3507641,0.04292113,0.052036688,0.03692315
60,-0.23420323,-0.11339465,0.074226715,0.055812363
61,-0.020552412,-0.4269094,0.08266946,0.09245927
62,0.0613596,0.07630024,0.05783914,0.053344768
63,0.5486086,0.014120887,0.18228857,0.1714716
64,0.26763946,0.3368748,0.15452309,0.15671757
65,-0.20797336,-0.08716436,0.23520337,0.1862785
66,0.31127858,-0.3351355,0.19703314,0.19276802
67,0.20627038,0.20575462,0.16306192,0.1458131
68,0.8034222,-0.41359767,0.18429592,0.13989241
69,0.10494217,-0.0033469396,0.068851285,0.0698841
70,-0.745387,-0.08710883,0.15481856,0.11948368
71,-0.47108772,0.52737844,0.09438169,0.08527446
72,-0.15587345,-0.05970374,0.1415748,0.114753574
73,0.24081458,0.22346815,0.094407186,0.07231791
74,0.49472407,-0.45940918,0.06887031,0.059449114
75,0.61415744,-0.86708987,0.071117476,0.10258238
76,-0.038389444,-0.25689757,0.05221038,0.042420525
77,0.08179007,-0.75320816,0.057688028,0.067842364
78,-0.035120253,-0.045662496,0.075769104,0.061736785
79,-0.019334324,-0.039313313,0.076667055,0.0772654
80,-0.17208853,0.107772715,0.03597072,0.037790854
81,-0.12678422,-0.037094247,0.089691155,0.08111994
82,-0.117947236,0.0110071255,0.07446421,0.058529258
83,-0.004679582,0.07173613,0.047156967,0.048882768
84,0.14180662,-0.07933852,0.049123295,0.044306584
85,0.18972674,-0.060742307,0.03895359,0.0365499
86,-0.3520058,-0.20327775,0.08696982,0.07970895
87,-0.7398217,0.008825245,0.087102264,0.064885594
88,-0.047102787,-0.04303961,0.04334033,0.035534788
89,-0.010134823,0.30957004,0.13039023,0.120005466
90,0.22190507,-0.20953238,0.3240086,0.30943054
91,0.015626311,0.16036414,0.10023879,0.10503765
92,-0.031070013,-0.03670488,0.08039446,0.07501372
93,0.102159455,-0.10130282,0.05099218,0.062481
94,0.01732789,0.039008502,0.25360414,0.26291642
95,-0.41989234,-0.49542126,0.13332818,0.13504659
96,-0.31849357,-0.439934,0.07140532,0.048447404
97,0.22914888,0.15919794,0.07143985,0.06633931
98,0.14658229,-0.0110637965,0.268842,0.22322966
99,0.15753655,0.16721632,0.110547215,0.080930024
100,-0.08364841,0.016094122,0.054734766,0.04367315
101,0.3102661,0.106562,0.085880145,0.06190545
102,-0.01084439,-0.05718097,0.09741262,0.09610752
103,0.03305836,0.092604175,0.29277688,0.28524297
104,0.008200032,-0.0059770765,0.15937637,0.15287168
105,-0.018531568,-0.04269251,0.056075327,0.05490344
106,0.14811242,0.10943179,0.10445916,0.07548728
107,0.22842781,0.010608542,0.050636414,0.04379436
108,0.09853736,0.097762965,0.13360485,0.13827696
109,-0.63738954,-0.4292757,0.09829308,0.09620493
110,-0.1969502,0.1064488,0.11168735,0.09613972
111,0.20654598,0.010527666,0.053118646,0.060047284
112,0.11922039,0.1484258,0.039933074,0.040469848
113,0.024910972,0.2756934,0.25680804,0.26265886
114,-0.14076442,0.038161945,0.12565592,0.104720436
115,0.09896877,0.13638292,0.04817322,0.04307185
116,-0.0032258248,0.041346516,0.052562773,0.04252756
117,-0.4524307,0.04215389,0.08356288,0.08315324
118,0.30435386,0.23100203,0.09116406,0.08329255
119,-0.0797901,-0.12770022,0.30044383,0.28811184
120,0.06658064,-0.06941327,0.055236418,0.04248271
121,-0.034597404,-0.00064219255,0.034712195,0.032325186
122,0.14934054,-0.024104763,0.09962316,0.08137717
123,-0.4615893,0.31732878,0.096850105,0.08079418
124,-0.09573209,-0.024460737,0.050310098,0.03983809
125,0.0025814595,-0.06788188,0.06609634,0.05925185
126,-0.13044803,0.16057207,0.1156748,0.11492901
127,0.17699847,-0.14395778,0.041471362,0.03572602
128,0.22276989,0.33731708,0.06526302,0.0632179
129,0.30673614,0.57631975,0.09506908,0.07846905
130,-0.023847647,-0.02891494,0.19259444,0.17868797
131,-0.1378506,-0.44836843,0.109252855,0.10008646
132,0.023445986,-0.06718951,0.106138885,0.122596316
133,0.023353688,-0.21676216,0.13606125,0.14550044
134,-0.09082638,0.071471214,0.06517042,0.06220726
135,-0.6721151,-0.05730555,0.15532696,0.12380041
136,-0.27201417,-0.101746306,0.15959162,0.12477712
137,0.13113216,-0.109691516,0.148715,0.15489618
138,-0.012547842,-0.30004913,0.15635704,0.15640539
139,-0.8390244,0.18124284,0.1481724,0.11083196
140,0.052951984,-0.061765205,0.04843459,0.041079618
141,0.07528778,-0.08984889,0.054802928,0.059360098
142,-0.33860022,-0.17185839,0.19727167,0.19276322
143,0.00962646,-0.12495,0.08863028,0.071555994
144,0.25865096,-0.017305765,0.16411257,0.17559525
145,0.07415689,-0.31260875,0.24189664,0.25410908
146,0.105694346,0.0824444,0.13052614,0.1324794
147,0.059079163,0.1340377,0.17805187,0.15319017
148,0.28997883,-0.11350721,0.041017793,0.039816696
149,0.014788211,-0.024456967,0.04253304,0.03661357
150,0.071499944,-0.34391007,0.20434615,0.17047586
151,0.007931248,0.2402351,0.087515205,0.0630519
152,-0.084512174,-0.19007681,0.107725024,0.10832755
153,0.23465185,-0.095068924,0.3025357,0.29649535
154,-0.030300263,0.07811394,0.099216044,0.07159432
155,-0.08734288,-0.42118013,0.08124156,0.06743144
156,-0.58375245,0.53742576,0.21278761,0.23679824
157,0.15191297,0.69777626,0.051175464,0.06445415
158,-0.0026752418,0.09625546,0.14448665,0.14192237
159,-0.21413134,-0.117126465,0.06435711,0.052489858
160,-0.13551079,0.1812656,0.15349042,0.12525311
161,-0.62016344,-0.4565998,0.12522048,0.11396044
162,-0.9847819,-0.07430851,0.13458593,0.0736603
163,-0.31776,-0.061067294,0.07042931,0.05503185
164,-0.13396044,-0.005673771,0.20622313,0.21281782
165,0.3485421,-0.21584247,0.15345074,0.11956131
166,-0.21802963,0.23253323,0.13622648,0.12575501
167,-0.090166494,0.21855174,0.052429404,0.049349185
168,-0.12957305,-0.24123463,0.065607704,0.061613604
169,0.07256743,0.21757703,0.082168534,0.079453684
170,0.0038226554,-0.17780708,0.3244564,0.27328154
171,-0.07909806,0.03646556,0.12405913,0.11813779
172,-0.092876844,0.12616824,0.089584224,0.07948539
173,-0.08093558,-0.0020227404,0.21156803,0.17532332
174,0.014539917,-0.072754964,0.13767976,0.13665633
175,-0.18487014,0.14554186,0.059426542,0.05597241
176,-0.26033407,-0.22660111,0.11352717,0.09974094
177,-0.808655,-0.0010217028,0.13209477,0.124427825
178,-0.04215856,-0.002110039,0.11932697,0.11843741
179,-0.37677565,-0.096423104,0.06860833,0.060780853
180,0.13912848,0.32525685,0.044991113,0.048352394
181,0.26013723,0.43448523,0.08219149,0.0605611
182,-0.05632303,-0.037640955,0.058598973,0.053542312
183,0.44520545,-0.3816905,0.15110645,0.12729211
184,0.3553339,-0.21697527,0.18506846,0.17234622
185,0.09352641,-0.25173062,0.042392287,0.033804722
186,0.80341303,-0.028859194,0.102126695,0.0836021
187,0.24461289,-0.0052718343,0.09688332,0.08765045
188,-0.16348507,0.18256027,0.057411738,0.054324847
189,-0.02789155,0.023077276,0.05932274,0.051230963
190,-0.03266704,-0.08431235,0.078538105,0.05440676
191,-0.03326212,-0.023318823,0.04274415,0.041909132
192,-0.25842497,-0.5777801,0.08451664,0.09139232
193,0.026699387,-0.015847731,0.06043803,0.063937634
194,-0.21357532,0.048977796,0.0940573,0.07870189
195,0.08576473,-0.14279015,0.095863864,0.08955912
196,-0.17504682,0.23334561,0.08346748,0.08008816
197,-0.07320008,0.19058453,0.17193383,0.17226566
198,-0.17262006,-0.06679688,0.10507686,0.08368583
199,-0.07658252,-7.49249e-06,0.047235318,0.0423084
200,0.38118222,0.5901474,0.100047365,0.11834551
201,0.10610334,-0.014771097,0.044802375,0.03979266
202,0.11292359,-0.006217581,0.055608034,0.055691727
203,-0.5631894,0.28316554,0.07384944,0.066007115
204,0.22203118,0.05461185,0.056619003,0.043063454
205,-0.24311918,0.47567916,0.05567332,0.055759456
206,-0.10430418,0.007999758,0.11114057,0.09758967
207,0.18960868,-0.10337451,0.15208568,0.15931775
208,0.32802212,-0.047443584,0.051261198,0.04501128
209,-0.23660663,-0.10122989,0.07551346,0.074878074
210,0.0043410743,-0.07553761,0.043205842,0.03527542
211,-0.19692424,0.06117167,0.11992562,0.12588675
212,0.036852494,-0.16252893,0.10815511,0.10132525
213,-0.015344179,-0.47882137,0.051157787,0.055834226
214,-0.064558275,-0.026773255,0.07689104,0.07830081
215,0.062068135,-0.413318,0.08247507,0.07886705
216,-0.018864386,0.020353459,0.04800438,0.040501893
217,-0.09840366,-0.08415721,0.16925745,0.14303586
218,-0.38115045,-0.3135897,0.05744877,0.043258242
219,-0.090358324,-0.00033635367,0.09661549,0.092722684
220,0.36837474,-0.23119782,0.072779715,0.069285944
221,0.26528713,-0.116595924,0.14313656,0.13533774
222,0.106313966,-0.029813427,0.042772707,0.040609688
223,-0.12420116,-0.54737836,0.045202162,0.038947657
224,0.046355683,-0.021658383,0.09816795,0.09708115
225,0.41985026,-0.05144922,0.061749235,0.052239288
226,0.77632785,-0.25224763,0.060009144,0.044542573
227,-0.17658345,0.112455174,0.19913903,0.15456454
228,0.41976294,0.40949094,0.08959666,0.0713661
229,0.09123798,-0.12924467,0.06812638,0.06862066
230,-0.096566774,-0.031735238,0.04313528,0.03573624
231,-0.44696632,-0.00029798318,0.08061225,0.052145414
232,-0.059612207,0.086076625,0.23774177,0.2702018
233,0.21006505,-0.105116956,0.10972277,0.103027366
234,-0.3118701,0.05507714,0.085481726,0.075296044
235,-0.1222322,-0.35688978,0.25123727,0.24702305
236,-0.33208334,-0.56253564,0.1528791,0.1431871
237,0.6348115,0.46302626,0.13150828,0.12851909
238,-0.20797336,-0.08716436,0.23520337,0.1862785
239,-0.025720723,-0.019202393,0.077962786,0.068103075
240,0.05979921,0.4475687,0.10517173,0.0964053
241,0.025962282,-0.13232006,0.11780553,0.1073832
242,0.018886581,0.0020139096,0.08046299,0.07735668
243,0.07155502,-0.06365015,0.12399532,0.114538856
244,0.1516414,0.3809418,0.047728814,0.04004418
245,-0.3380428,0.11460407,0.05677298,0.04561894
246,-0.21677269,-0.06769198,0.19538543,0.17355654
247,-0.0066480776,0.15295209,0.06385028,0.04845564
248,-0.036898036,0.013248148,0.046813473,0.04403598
249,0.0016023004,0.034441523,0.045785937,0.037953183
250,0.13113329,-0.029584613,0.11966165,0.11073738
251,-0.10360235,-0.15433602,0.10519566,0.099285
252,0.050318085,-0.051203188,0.2371666,0.22864501
253,-0.0124700805,-0.024616089,0.08202567,0.079831444
254,0.09212102,-0.37654924,0.09451857,0.08947143
255,-0.09051748,0.017393168,0.16899876,0.14874014
256,0.055649057,0.0064308,0.13232395,0.10389989
257,-0.21413134,-0.117126465,0.06435711,0.052489858
258,-0.042928986,0.09280309,0.083982654,0.06602577
259,-0.052589566,-0.028486636,0.06406879,0.051151305
260,-0.23250155,0.03972518,0.052785903,0.04035731
261,0.11903052,0.05331062,0.07148369,0.053563207
262,-0.046303377,-0.44014966,0.105175175,0.09832023
263,0.12983708,-0.27957854,0.04411901,0.04661985
264,0.3740784,0.5093934,0.059809633,0.05240885
265,0.009132368,-0.011597623,0.118526995,0.111473575
266,-0.021316092,-0.06637962,0.20851785,0.2093247
267,0.08816783,-0.48972878,0.06919674,0.0704054
268,-0.24968255,0.060265716,0.09888588,0.09932814
269,-0.31697854,0.223935,0.051074993,0.045212794
270,0.12999721,0.24476604,0.099927746,0.09333809
271,0.10346376,-0.0385666,0.06406118,0.060825728
