,e1_res_mean,e2_res_mean,e1_res_std,e2_res_std,e1_input,e2_input
0,0.18594804,-0.63656986,0.017017808,0.0051431144,-0.19398495122508477,-0.6522742643945904
1,0.050599355,0.14304337,0.051243644,0.005639754,-0.059128624905946704,0.14032947848690508
2,-0.50169545,0.2188168,0.041210566,0.013484075,0.48657878559783035,0.21229084655916786
3,-0.3190892,0.52352697,0.039013665,0.009668585,0.33367451927054065,0.5316336345154755
4,-0.013854961,0.009737635,0.035159767,0.0019459178,0.010735566403984936,-0.009122904172221396
5,0.012169739,-0.10241253,0.023829594,0.009738524,0.01205251631145268,-0.12952202756331932
6,-0.13905826,-0.06607728,0.020176481,0.002304165,0.16026977848317134,-0.08515772875872393
7,0.19505222,0.060816016,0.019053005,0.0026739023,-0.22287576124947678,0.0429681950254577
8,-0.013736752,-0.06868617,0.055673778,0.0032538087,-0.016474300042647126,-0.09210534954328767
9,0.21587168,0.2786158,0.04286579,0.0040824153,-0.21409297490728416,0.2612729796324253
10,-0.32841703,-0.7321979,0.015132174,0.004894166,0.33819812571262536,-0.7407845735768495
11,0.038906924,0.009457337,0.015154131,0.0023703538,-0.0454157435755677,-0.00893228076971114
12,0.19543207,-0.20462489,0.025160132,0.002959713,-0.1660926998484303,-0.22941068765727635
13,0.08333487,0.16967198,0.01887357,0.0038890792,-0.1151109958393064,0.16581389231356378
14,-0.011431295,-0.17762358,0.015233151,0.0029558204,0.022871362646078364,-0.20370081530660655
15,0.016320512,0.04703461,0.051698487,0.0057119145,0.005068332397240529,0.03407684004492664
16,0.037926022,-0.01831214,0.016264403,0.0018559783,-0.04242261776058352,-0.03604598124295677
17,-0.1219829,0.058464997,0.023235762,0.0022919644,0.13128443774854975,0.04092891944086169
18,-0.016774565,0.014336628,0.02164395,0.0025967578,0.018528799526074283,-0.0017753513542543846
19,0.573547,0.2230734,0.020685261,0.0061290762,-0.5867294313360186,0.21690520798276733
20,0.10622308,-0.14939049,0.03537888,0.0028416289,-0.1388540743501199,-0.17256386686766478
21,-0.18975925,-0.23581275,0.01902821,0.00605126,0.2083574964495393,-0.2624536448506692
22,-0.023250986,-0.038980674,0.053599186,0.0033047756,0.09009414236302504,-0.05823133960838734
23,-0.11835858,0.3115998,0.01603684,0.0044674403,0.13776516989393828,0.3196112581361168
24,0.06358367,-0.0242873,0.013270505,0.0018386251,-0.06327406550937582,-0.047165083774125954
25,-0.0387833,0.027153784,0.026661169,0.0018292549,0.050317706095435046,0.008473566112729081
26,-0.11835858,0.3115998,0.01603684,0.0044674403,0.13776516989393828,0.3196112581361168
27,-0.11650867,-0.01494617,0.05074542,0.0023256307,0.16089754849280347,-0.03681332438380293
28,-0.06321934,-0.19467884,0.05189329,0.0042486554,0.03512278104023765,-0.22106317573429118
29,0.14487316,0.0573974,0.046619613,0.002259006,-0.1828161365290007,0.039512802817050205
30,-0.0125369355,0.046825957,0.0524397,0.0038796258,-0.026335638046065812,0.032998981457348066
31,-0.043105006,-0.009258614,0.019778015,0.0023020178,0.056404788505658096,-0.028089541868605582
32,0.009212368,-0.23109421,0.01714074,0.0036526595,-0.05677251536912779,-0.2556079170009189
33,-0.2701976,-0.087458774,0.039807416,0.0037462497,0.31838645630984364,-0.11443098917196723
