,id,e1,e2,shear_1,shear_2,redshift,redshift_true,blendedness,snr_r,convergence,e1_hsm_regauss,e2_hsm_regauss,mag_r_meas,mag_r_true,e1_in_ksb,e1_out_ksb,e1_error_ksb,e2_in_ksb,e2_out_ksb,e2_error_ksb,e_in_ksb,e_out_ksb,e_error_ksb,e1_in_reg,e1_out_reg,e1_error_reg,e2_in_reg,e2_out_reg,e2_error_reg,e_in_reg,e_out_reg,e_error_reg,e_in_obs_ksb,e_out_obs_ksb,e_obs_error_ksb,mag_in,mag_out,delta_mag
0,6000542719,0.1079389866366205,-0.3781437727510861,0.0034009695643505977,0.001616102020758261,0.5553945635835031,0.5550241470336914,0.0,143.52655267940068,0.008880102009502622,-0.2469480037689209,-0.7602381110191345,22.148917620238162,22.562442468707506,-0.12233299762010574,-0.100858174264431,0.021474823355674744,-0.44328194856643677,-0.423001766204834,0.020280182361602783,0.45985242005623705,0.43485959288989284,-0.02499282716634421,-0.1886925846338272,-0.15993836522102356,0.02875421941280365,-0.681207001209259,-0.6652452349662781,0.015961766242980957,0.7068577438157592,0.6842013616727988,-0.022656382142960396,0.4343463864032042,0.4290808783606575,-0.005265508042546718,22.59593096481402,22.583393,-0.012537867890191734
1,7002508926,0.03013658390191807,0.07818570432716329,-0.0004342784767954466,-0.007706318022707237,1.035572037833484,1.0342295169830322,0.0,45.36197586396777,-0.007798520496399286,0.4593624174594879,-0.002105714753270149,24.45842402503729,24.280911644325823,-0.028048494830727577,-0.040271155536174774,-0.012222660705447197,0.06524219363927841,0.02726919762790203,-0.03797299601137638,0.07101592703847814,0.048635122159694,-0.022380804878784147,-0.06596837192773819,-0.09464142471551895,-0.02867305278778076,0.15096090734004974,0.06149212270975113,-0.08946878463029861,0.16474532357468444,0.112863990836468,-0.051881332738216435,0.01769548104868942,0.007745550061258191,-0.00994993098743123,24.27760180485444,24.252352,-0.025250043990183713
2,7003076680,-0.2746974329727165,0.10876417890849678,0.011749316259631605,0.0051504326146313215,1.10307051529906,1.1182024478912354,0.00017264087941359918,43.88199651613968,-0.003286475221980556,0.6733373403549194,-0.15024308860301971,24.37039637747436,24.37801049228439,0.34587544202804565,0.24360083043575287,-0.10227461159229279,0.13677965104579926,-0.005869995802640915,-0.14264964684844017,0.3719388314471972,0.2436715441731173,-0.1282672872740799,0.7173579931259155,0.5703869462013245,-0.14697104692459106,0.28480732440948486,-0.024412041530013084,-0.30921936593949795,0.7718275081512258,0.5709091137550142,-0.20091839439621162,0.09237633827345614,0.06749275546896918,-0.02488358280448695,24.38424117528303,24.40035,0.016109395395680792
3,7001184867,-0.1871175775088649,0.3021668618264206,-0.0001082836169475354,-0.003375166443095411,0.7607919235606628,0.7552891969680786,0.06817342113464575,65.86458665000082,0.01221540728987236,0.2907528877258301,0.4626541137695313,23.888203718039044,23.026963710926328,0.20964357256889343,0.2256670892238617,0.01602351665496826,0.333495169878006,0.29411450028419495,-0.039380669593811035,0.39391554405914087,0.37071414113328893,-0.023201402925851933,0.38994452357292175,0.4160603880882263,0.026115864515304565,0.6245052218437195,0.549439549446106,-0.07506567239761353,0.7362496204240694,0.6891952299832504,-0.04705439044081894,0.15059879428233136,0.16852975159994754,0.01793095731761618,23.06818962973571,23.075865,0.007675162134407998
4,6001754782,-0.005709342233080301,0.004559383444284368,0.00034078242166901695,-0.009106870182688277,0.9151180086353436,0.9070785045623779,0.009068793967500377,80.89189843585223,0.0015045022405162367,0.07340565323829651,-0.032125145196914666,23.13579232208857,23.16779222228062,0.005843973718583584,0.010069174692034721,0.0042252009734511375,-0.004285434260964394,-0.009631598368287086,-0.005346164107322693,0.007246859708076532,0.013933986009276133,0.006687126301199601,0.01190901268273592,0.020256804302334785,0.008347791619598866,-0.008801525458693504,-0.02025851421058178,-0.011456988751888275,0.014808491937992703,0.028648656487930337,0.013840164549937634,0.011475875248266989,0.01867119326172595,0.0071953180134589605,23.184654855322048,23.212494,0.02783904116232705
5,7000882760,0.00031216492359055785,-0.05590472760916223,-0.006310700066973153,-0.009119873968652846,0.6747827394793666,0.6748427152633667,4.882415574314347e-05,51.37877948116954,0.005244604387092622,-0.10008963197469713,-0.5213161110877991,24.12634489432434,24.116637549009138,-0.006213941145688295,0.008887971751391888,0.015101912897080183,-0.08460325002670288,-0.02889486402273178,0.0557083860039711,0.08483114392511089,0.030230931324484525,-0.05460021260062636,-0.014614822342991829,0.01914997026324272,0.03376479260623455,-0.1886233687400818,-0.06439836323261261,0.12422500550746918,0.18918871072813534,0.06718534474215782,-0.12200336598597752,0.03482949973340272,0.017671464952519565,-0.017158034780883156,24.14157840677829,24.140244,-0.0013348765048526445
6,6000762167,-0.07713049816813021,-0.05275054050433938,-0.003558655714247461,0.009594835530507537,0.6303865234975283,0.6336421966552734,0.006789515138756253,78.56208448571105,0.015822732695580655,0.10836773365736008,-0.017885202541947358,23.51081131109737,23.52328414847425,0.07760623842477798,0.08733614534139633,0.009729906916618347,-0.04604008048772812,-0.02813589572906494,0.017904184758663177,0.09023534370611092,0.09175636714457651,0.0015210234384655935,0.16463230550289154,0.18563465774059296,0.021002352237701416,-0.09805072844028473,-0.06030089408159256,0.03774983435869217,0.1916187395921074,0.19518305249561638,0.003564312903508976,0.06543208846080747,0.0670057235397854,0.0015736350789779252,23.571631378739063,23.501923,-0.06970877131718822
7,7000310489,0.1090827986205842,0.01979683288567212,0.003889098498265964,0.001968549015976695,0.4691992497193713,0.4691449403762818,0.0,324.82575289881805,-0.0013560561887289158,-0.17016372084617615,0.0193131510168314,21.97785131176704,21.95440102834169,-0.11062606424093246,-0.10536159574985504,0.005264468491077423,0.022661490365862846,0.03274698555469513,0.010085495188832283,0.11292328916145249,0.11033327205279142,-0.0025900171086610663,-0.23367591202259064,-0.2213439792394638,0.012331932783126831,0.04782430827617645,0.06778259575366974,0.019958287477493286,0.2385195931609902,0.23149003743717697,-0.0070295557238132245,0.06651579856828604,0.06914361766536795,0.0026278190970819015,21.9660162393484,21.96462,-0.0013956491384377046
8,6007417860,-0.0017558505635370829,-0.030963434820230538,0.01012819451721314,-0.015410257989058831,1.7684597977840144,1.7661087512969968,0.00035735278276360916,53.711314811388036,-0.012887342301179716,0.3268755078315735,-0.43260493874549866,23.891630906259252,23.936755171199685,0.01103864423930645,-0.00893873069435358,-0.01997737493366003,-0.04369254410266876,-0.023416588082909584,0.020275956019759178,0.045065397777070915,0.02506466644244128,-0.020000731334629634,0.02393498085439205,-0.019790716469287872,-0.043725697323679924,-0.09629303961992264,-0.050786301493644714,0.045506738126277924,0.09922314643138518,0.05450615449443413,-0.04471699193695105,0.024535773400686075,0.01283689411358596,-0.011698879287100115,23.925754578211524,23.906076,-0.01967814693711034
9,6002193856,0.11333029254022085,0.13238467662937947,-0.0030008141767611236,0.0021571353395098683,0.996017359985744,0.9963459968566896,4.136334790350027e-06,115.44332252325079,-0.012673829828705685,-0.14268258213996887,0.2065321654081345,22.62597479807688,22.61389849137576,-0.11525700986385345,-0.12217491865158081,-0.006917908787727356,0.13337644934654236,0.15125617384910583,0.017879724502563477,0.1762766449733123,0.1944354414066307,0.018158796433318386,-0.22698646783828735,-0.24158920347690582,-0.01460273563861847,0.26247638463974,0.298674076795578,0.03619769215583801,0.3470111079998025,0.3841504228636181,0.03713931486381561,0.13325909840563327,0.13881215710017658,0.005553058694543311,22.64373514632921,22.655478,0.011742377474501353
