,e1_res_mean,e2_res_mean,e1_res_std,e2_res_std,e1_input,e2_input
0,0.15338321,-0.66099495,0.006901649,0.015562525,0.18072651633781117,-0.6539580728323495
1,0.03902414,0.13320474,0.017139334,0.015940674,0.06084804362534251,0.14031417760970927
2,-0.61032766,0.20344776,0.04710113,0.024765741,-0.521462974011675,0.2074555027714428
3,-0.3448556,0.519577,0.012539349,0.022832386,-0.3332839911782324,0.5317118803028608
4,-0.032316804,-0.011736871,0.00952954,0.007744572,-0.01210057182763586,-0.009122904136179165
5,-0.018214356,-0.16036049,0.014718654,0.013331917,0.013294338554872321,-0.1295201308709439
6,-0.18704388,-0.09053487,0.012711095,0.008790961,-0.14613260640641598,-0.08536828664117768
7,0.19951425,0.040864132,0.011669336,0.00767337,0.20806321628873464,0.04310568219222864
8,-0.045859292,-0.09359271,0.011379675,0.009766146,-0.023471736093119512,-0.09209458448263035
9,0.21029527,0.25927293,0.009054156,0.010046541,0.22536707340490528,0.2605989087122399
10,-0.34738117,-0.7558737,0.008135227,0.015298701,-0.3273834471797387,-0.7437936860234697
11,0.030289158,-0.011207842,0.010294523,0.009204365,0.04781030613393835,-0.008931335348421015
12,0.17996624,-0.2341181,0.011648243,0.012928897,0.20058715964632615,-0.22796202789243974
13,0.061576854,0.18043278,0.01880958,0.018007824,0.10608517931921908,0.1659812427164744
14,-0.029077448,-0.20824152,0.008998985,0.0080279205,-0.007135226268637726,-0.2037496544904894
15,-0.015282117,0.021219917,0.029150175,0.025798988,0.022525517219002634,0.03407237555572164
16,0.022937164,-0.03915623,0.012331661,0.01041994,0.04292048941069181,-0.03604511236989524
17,-0.14939408,0.04420378,0.011649187,0.009166021,-0.12681116108702692,0.04095353459751258
18,-0.039928395,-0.010150717,0.011960444,0.009383081,-0.017787217338296184,-0.0017753776671153275
19,0.6006931,0.2238816,0.027160162,0.014281281,0.59697273497098,0.2149096414006471
20,0.08771935,-0.17697752,0.008239749,0.009106082,0.10733590130005055,-0.17322061661915764
21,-0.21997759,-0.26164156,0.013584671,0.013884044,-0.1994857279518877,-0.2629536753379921
22,-0.06531648,-0.06631159,0.014096813,0.011749326,-0.04117046554688204,-0.058424998972340984
23,-0.15703283,0.32488477,0.01728686,0.020600539,-0.12027936275468593,0.32032874708443343
24,0.036581717,-0.045989722,0.014268058,0.012787593,0.07196674521825772,-0.047139256026377946
25,-0.075439766,0.0023780754,0.009218469,0.0075635477,-0.04757535301210496,0.008474712144502567
26,-0.15703283,0.32488477,0.01728686,0.020600539,-0.12027936275468593,0.32032874708443343
27,-0.17993794,-0.038183004,0.011973167,0.008232099,-0.15072847004821058,-0.03687738247890936
28,-0.09855879,-0.21701631,0.010724975,0.011222481,-0.08422258412924255,-0.22040364175453986
29,0.14429255,0.034224465,0.009939313,0.0069707753,0.1646915678980185,0.03969370988414293
30,-0.052255534,0.02807473,0.01385465,0.011921448,-0.02323401074757451,0.03299997854837002
