,e1_out_mean,e2_out_mean,e1_out_std,e2_out_std
0,0.22682862,0.27951992,0.11438176,0.11486348
1,0.5291159,0.72094715,0.12501407,0.1249644
2,0.24229191,0.7242499,0.07475066,0.08098526
3,-0.1390896,-0.11151945,0.061835524,0.054054342
4,-0.1945764,-0.0927646,0.16080339,0.14899822
5,-0.0012259586,0.50055605,0.18963128,0.17992723
6,0.15880008,0.08615422,0.06965662,0.06708895
7,-0.098830335,-0.058708772,0.06370377,0.05293902
8,0.04228864,0.08049703,0.0497885,0.0435542
9,-0.15073742,-0.19740008,0.14009176,0.14661482
10,0.030648936,0.049843762,0.0986026,0.08402742
11,-0.03640502,0.025851998,0.36980593,0.3044295
12,-0.41742012,-0.32151464,0.085941955,0.082507394
13,-0.06860758,-0.22771774,0.17889276,0.17075795
14,0.27930984,0.49569502,0.19699351,0.1872576
15,0.132322,0.17042933,0.13027501,0.11708028
16,-0.019103974,-0.05729297,0.10436004,0.094174564
17,0.005592444,0.06554234,0.09813909,0.098888844
18,-0.42312866,-0.08843306,0.05080774,0.02843046
19,0.039137494,-0.026302624,0.07265368,0.074249655
20,0.19304089,-0.28004086,0.034023397,0.031989682
21,0.17019485,-0.20694068,0.0725345,0.07426193
22,0.14456557,-0.20838849,0.12041263,0.10770843
23,0.17578968,-0.053212453,0.050252393,0.040798217
24,0.036601678,-0.8603906,0.1226182,0.1348603
25,0.012386926,-0.038801353,0.03871336,0.0415783
26,0.19855945,-0.090709016,0.13902353,0.13819493
27,0.20257859,-0.049422514,0.043247513,0.032158803
28,0.22349055,-0.18877853,0.11306341,0.11539673
29,-0.18866791,0.0938086,0.121141374,0.11647189
30,-0.16370326,-0.07803805,0.059665896,0.05008577
31,0.012551808,0.13639951,0.15955596,0.15260984
32,0.21812259,-0.20790239,0.0775001,0.07081395
33,-0.037951354,-0.014754959,0.139868,0.13003379
34,0.8291043,0.1999135,0.088278905,0.06137175
35,-0.45276204,0.17635156,0.040647805,0.040018104
36,-0.052948162,-0.21676545,0.11996209,0.11435452
37,-0.08374367,0.051119287,0.14720803,0.12837365
38,0.09368966,0.068739936,0.05182493,0.047323514
39,0.3554925,-0.076788895,0.1628237,0.12730303
40,0.21831436,-0.26435262,0.09810861,0.08692137
41,0.006029033,-0.014994548,0.059280153,0.04398126
42,-0.011715761,0.00847822,0.086902834,0.06895742
43,-0.10872645,0.07554309,0.096562564,0.07880449
44,-0.6709299,0.09746225,0.08190134,0.052244585
45,-0.06926278,0.027094819,0.15431246,0.17054601
46,-0.33562115,-0.54059494,0.048615605,0.056860767
47,-0.2073481,-0.5268687,0.054740626,0.057260007
48,-0.12189848,-0.1115,0.17510432,0.17385073
49,0.09592298,0.13381551,0.08902078,0.083092995
50,-0.029214099,0.09399153,0.06251787,0.051866706
51,0.3751618,0.097926386,0.08303092,0.07501108
52,0.10721806,-0.046110805,0.17311028,0.15862447
53,-0.1944807,0.37113005,0.1047685,0.10756333
54,-0.50184476,0.032120388,0.059711263,0.049066283
55,-0.29670268,-0.4258597,0.060955897,0.06794673
56,0.15422608,0.3476632,0.07290718,0.0677391
57,-0.022801705,-0.14870498,0.1715983,0.1728522
58,-0.06293463,-0.17751414,0.12776111,0.12809247
59,-0.08676889,0.01992777,0.04815947,0.0442588
60,-0.4187791,0.42549756,0.10121998,0.096385136
61,-0.11939318,0.15209375,0.05426899,0.04458765
62,-0.2665918,0.0011453358,0.115462944,0.10591297
63,-0.16420649,-0.33718246,0.050241392,0.043466635
64,0.3152201,0.1830159,0.085835725,0.06876183
65,-0.3722428,0.25024447,0.104292914,0.08416052
66,0.15853217,0.13016526,0.057244454,0.049049668
67,-0.3592201,0.31731027,0.12905657,0.13725422
68,-0.4760775,-0.30436513,0.07047708,0.06340196
69,0.45354465,0.010794888,0.07616024,0.06521898
70,0.22450288,0.022910956,0.043551832,0.029341789
71,0.0765094,-0.24173166,0.05872657,0.050831452
72,0.09755042,-0.21527478,0.06304015,0.05802277
73,-0.31194356,0.26567635,0.08448618,0.06424791
74,0.49880138,0.016505424,0.09508435,0.07664673
75,-0.103499606,-0.45518956,0.07865635,0.079219654
76,0.19855274,-0.057077218,0.12156247,0.12222223
77,-0.15599053,0.22527386,0.07984077,0.07069728
78,-0.4396545,0.10988471,0.27391037,0.26358023
79,-0.019747294,0.33261,0.113253206,0.11977615
80,-0.62797236,0.282827,0.101536885,0.08981664
81,0.24959795,-0.533284,0.05164959,0.05655829
82,-0.39785007,0.09778238,0.09776112,0.062117267
83,0.04550235,0.2093734,0.31105942,0.2962632
84,0.24856256,0.2461202,0.07648662,0.06626353
85,-0.08101216,-0.07940659,0.25248122,0.23869453
86,0.17579608,-0.112064004,0.23091742,0.200063
87,0.2419135,0.40370396,0.115193546,0.10372987
88,-0.54318094,0.11917929,0.07477245,0.0652858
89,-0.04375297,-0.037173938,0.06522906,0.047801197
90,-0.27040443,-0.10838438,0.037677344,0.035583608
