,e1_res_mean,e2_res_mean,e1_res_std,e2_res_std,e1_input,e2_input
0,0.17037411,-0.6715761,0.0069732717,0.015805585,0.18072651633781117,-0.6539580728323495
1,0.059140522,0.11340265,0.017469976,0.0157025,0.06084804362534251,0.14031417760970927
2,-0.5996561,0.18638033,0.047094192,0.02408906,-0.521462974011675,0.2074555027714428
3,-0.33105016,0.5090417,0.012411727,0.022829024,-0.3332839911782324,0.5317118803028608
4,-0.013501033,-0.030650325,0.009426332,0.0076054432,-0.01210057182763586,-0.009122904136179165
5,0.004206113,-0.17969182,0.014561936,0.013824289,0.013294338554872321,-0.1295201308709439
6,-0.16545382,-0.11327179,0.01229292,0.009227798,-0.14613260640641598,-0.08536828664117768
7,0.21886322,0.021504119,0.012161851,0.0076594455,0.20806321628873464,0.04310568219222864
8,-0.026318878,-0.11231368,0.0111568915,0.0101762265,-0.023471736093119512,-0.09209458448263035
9,0.23019025,0.24067718,0.00939185,0.009535231,0.22536707340490528,0.2605989087122399
10,-0.3252427,-0.7683762,0.007818045,0.015648948,-0.3273834471797387,-0.7437936860234697
11,0.049698927,-0.031536482,0.010414629,0.009405439,0.04781030613393835,-0.008931335348421015
12,0.19835795,-0.25383922,0.011877162,0.013287479,0.20058715964632615,-0.22796202789243974
13,0.08493367,0.15664071,0.01914142,0.017812846,0.10608517931921908,0.1659812427164744
14,-0.009013958,-0.22779821,0.0088872155,0.008182616,-0.007135226268637726,-0.2037496544904894
15,0.008777641,-0.003047661,0.02927302,0.02565644,0.022525517219002634,0.03407237555572164
16,0.04404558,-0.061769135,0.01240631,0.010738856,0.04292048941069181,-0.03604511236989524
17,-0.13021813,0.025010422,0.011403482,0.008800281,-0.12681116108702692,0.04095353459751258
18,-0.022848193,-0.026002292,0.011796463,0.009447714,-0.017787217338296184,-0.0017753776671153275
19,0.6171885,0.20196696,0.027712252,0.01355815,0.59697273497098,0.2149096414006471
20,0.104924425,-0.19606201,0.008310332,0.009522823,0.10733590130005055,-0.17322061661915764
21,-0.2021096,-0.2787208,0.013063559,0.014467786,-0.1994857279518877,-0.2629536753379921
22,-0.042435236,-0.08700473,0.013880278,0.011968068,-0.04117046554688204,-0.058424998972340984
23,-0.13687865,0.30781445,0.01709375,0.019896746,-0.12027936275468593,0.32032874708443343
24,0.058735993,-0.065879695,0.014526571,0.013003325,0.07196674521825772,-0.047139256026377946
25,-0.055141933,-0.01718796,0.009032537,0.0074932473,-0.04757535301210496,0.008474712144502567
26,-0.13687865,0.30781445,0.01709375,0.019896746,-0.12027936275468593,0.32032874708443343
27,-0.15859325,-0.05966898,0.011590152,0.008262338,-0.15072847004821058,-0.03687738247890936
28,-0.08010653,-0.23506969,0.0104410555,0.01125714,-0.08422258412924255,-0.22040364175453986
29,0.16500881,0.015842788,0.010361184,0.006880923,0.1646915678980185,0.03969370988414293
30,-0.03159635,0.0076923957,0.013715084,0.011845317,-0.02323401074757451,0.03299997854837002
31,-0.059495136,-0.050720833,0.011197678,0.0087284865,-0.05311604436126906,-0.028095306466361367
32,0.005865621,-0.28569835,0.010197649,0.012555202,0.010693233304328273,-0.256010150391254
33,-0.28070778,-0.13322085,0.012559597,0.00756236,-0.2955105084709234,-0.11526600012108812
34,0.111770295,0.11530477,0.008645793,0.007413558,0.11091529751603349,0.14070655386145492
35,-0.32670185,-0.09470702,0.019830724,0.010864357,-0.3353286389546945,-0.07932709423981635
36,-0.2607296,0.35474843,0.009444874,0.014081571,-0.25308485098537403,0.3812430854280602
37,0.002653292,0.57557,0.008177794,0.015126636,0.0033731460825375615,0.5753482464846449
38,0.5361358,-0.035225276,0.018800454,0.006079026,0.5590892418690052,-0.015996223290102037
39,0.1334844,0.037197277,0.008972638,0.006739208,0.126401337743935,0.05300992127540865
40,0.0998946,-0.6179947,0.0062817996,0.013732076,0.09717780639426718,-0.579846520165242
41,-0.03176799,-0.041381314,0.009303037,0.0073210387,-0.026078430696176734,-0.018327423713049528
42,0.04393757,0.26223928,0.02304275,0.02366718,0.040861078571609845,0.27423899794646595
43,-0.20153274,0.07198934,0.012590322,0.009473675,-0.18247639881641622,0.09291428944106302
44,0.068758525,0.0028441725,0.012651535,0.010626734,0.07391478105407409,0.025940098745925896
45,-0.06775017,-0.038514905,0.015964925,0.012926014,-0.05771956327186384,-0.02586761831608337
46,-0.16354278,-0.07816498,0.010040342,0.006947711,-0.16165186964330888,-0.05408770216803407
