,e1_out_mean,e2_out_mean,e1_out_std,e2_out_std
0,0.22413024,-0.5852314,0.045142226,0.044016946
1,-0.017072074,-0.032386437,0.097389914,0.07811447
2,-0.37687504,0.2941776,0.25139406,0.27017272
3,-0.2602424,0.4921043,0.068849385,0.07533907
4,-0.038252886,-0.0073651224,0.03830913,0.0360979
5,0.044893477,-0.39594847,0.15793405,0.19691382
6,-0.053248018,-0.016723715,0.04151447,0.03379913
7,0.17217046,0.030437358,0.046855684,0.036177713
8,-0.07202549,0.0035207719,0.111350596,0.08965146
9,0.23467785,0.24614121,0.039513644,0.03820165
10,-0.41901177,-0.7158241,0.03705733,0.048173074
11,0.101994336,-0.15961152,0.062425025,0.0529718
12,0.10558079,-0.26133204,0.07040365,0.06629327
13,-0.2562238,-0.060389295,0.20209901,0.15187147
14,-0.018192876,-0.21479115,0.026845131,0.02630586
15,-0.025313037,-0.011884309,0.10480155,0.09204851
16,-0.15207972,-0.085400075,0.13781591,0.10680116
17,-0.053359456,0.18656556,0.047693584,0.0428405
18,0.199632,-0.18871239,0.09589158,0.09003364
19,0.5959318,0.11762104,0.1528345,0.16107334
20,0.13237076,-0.1397205,0.03399298,0.02687328
21,-0.05788423,-0.16832197,0.12121859,0.12479168
22,-0.042016245,-0.06922057,0.08327938,0.064197205
23,0.112124875,0.25091648,0.17714319,0.14725979
24,-0.02609786,-0.00028831512,0.046407163,0.03943602
25,0.016050376,-0.004418783,0.03331464,0.02694795
26,0.07789494,0.28775185,0.14163308,0.1599724
27,-0.23683211,0.036918204,0.056807,0.03876385
28,-0.03249381,-0.110227495,0.07036754,0.068975374
29,0.04679573,0.03444868,0.07216114,0.06851802
30,-0.02464059,0.1220058,0.07909307,0.06426258
31,-0.0054201484,-0.08272837,0.06125656,0.05842539
32,0.13018936,-0.5293015,0.09384568,0.093714155
33,-0.19591808,-0.0063495412,0.06418931,0.047095567
34,0.13261287,0.1765741,0.07594237,0.058875244
35,-0.2804027,-0.21945557,0.25090683,0.19164765
36,-0.22551952,0.40786162,0.040829662,0.037995916
37,0.039119776,0.52384305,0.076399595,0.080929324
38,0.53606576,-0.036740065,0.052433368,0.036896802
39,0.109276235,0.023436822,0.036762983,0.029768199
40,0.10442865,-0.4316497,0.07382298,0.08372873
41,-0.0138970055,-0.10559367,0.03727109,0.030485079
42,0.11616413,0.14188804,0.25026512,0.24334574
43,-0.14044805,0.17245966,0.044752218,0.043440852
44,0.0864764,-0.097844884,0.2013974,0.16939947
45,-0.031823404,0.17145783,0.20493126,0.14759852
46,-0.17024492,-0.038631007,0.029114172,0.021846551
47,0.06498164,-0.15947738,0.034999438,0.032419197
48,-0.024676869,-0.26509023,0.15702268,0.16705038
49,0.123511806,-0.4213235,0.042411823,0.03934728
50,-0.29020917,-0.02196724,0.0645317,0.045366723
51,0.022166532,-0.0379446,0.03277441,0.027836446
52,-0.09309274,-0.09630956,0.0946729,0.080232926
53,0.08510989,-0.09985146,0.048459575,0.03819474
54,-0.07950315,-0.32651436,0.06305223,0.06519039
55,-0.08640453,-0.6135111,0.03973375,0.04405109
56,0.10612403,0.05306415,0.11109942,0.085114494
57,-0.027453117,0.012804672,0.04011106,0.03254317
58,0.10132225,0.045336306,0.047772914,0.04262755
59,0.0019711815,-0.025270388,0.036296114,0.028505297
60,-0.33793703,-0.51314807,0.057233877,0.0613055
61,0.055893708,0.11011554,0.17895138,0.17420597
62,-0.020266958,0.21264412,0.07609252,0.084214985
63,0.01548199,-0.036764413,0.03618115,0.028830472
64,0.42118627,-0.7108996,0.09065813,0.094175406
65,0.3302481,0.15869465,0.28347754,0.21583438
66,-0.006167894,-0.17471573,0.035625555,0.031645507
67,0.027430024,-0.089012295,0.045207515,0.040868774
68,-0.014071336,-0.086192325,0.09671278,0.09211382
69,-0.29103348,-0.27492455,0.13831963,0.1314195
70,0.04167555,0.11395524,0.031850822,0.025793899
71,0.012745813,-0.13320619,0.09514343,0.09762887
72,0.3962457,0.54661834,0.06278571,0.053328924
73,-0.6392868,-0.15069954,0.04574733,0.030272337
74,-0.18650194,-0.38589483,0.11935468,0.1224488
75,-0.2859086,-0.29360843,0.10190106,0.110902816
76,0.019109782,0.0070865154,0.12502766,0.1045228
77,0.4969391,0.40903887,0.042813938,0.040396765
78,-0.05514767,-0.26619035,0.054528777,0.048033156
79,0.59933317,0.10714936,0.0498976,0.036478918
80,-0.06775442,0.063364476,0.09830583,0.08025898
81,-0.06780083,0.014604613,0.13051252,0.14317301
82,0.032537747,-0.08718321,0.026686706,0.024066254
83,0.0567823,-0.05489047,0.025433047,0.021026172
84,-0.040105842,-0.18845508,0.09857214,0.09709155
85,-0.12621193,4.9076974e-05,0.046446774,0.040495183
86,-0.016859356,-0.0077582523,0.07934395,0.06259176
87,-0.16538456,-0.10849193,0.076112956,0.073448345
88,0.065792516,0.027769662,0.05463883,0.0469266
89,0.09008485,-0.15770888,0.1851925,0.1962586
90,-0.047275,-0.22440523,0.044635367,0.03465289
91,-0.349383,0.38203368,0.06299033,0.042176645
92,-0.23274001,0.86604357,0.042953722,0.050231393
93,-0.14900653,0.028712988,0.06491138,0.04521534
94,0.12217921,-0.05450715,0.028808556,0.023306075
95,0.41574314,0.21508881,0.033193566,0.029486727
96,-0.048411712,0.035295825,0.2070919,0.14981185
97,-0.1889934,-0.49401775,0.037149798,0.034759782
98,-0.0013823584,-0.063194424,0.029591344,0.024167199
99,-0.113963425,0.5770943,0.036436476,0.04300767
100,0.1021204,0.13663134,0.17360365,0.13975602
101,0.0131406635,-0.02293443,0.040708467,0.030845452
102,-0.12341547,0.02122169,0.10828306,0.103110105
103,0.015163716,-0.052652717,0.05433583,0.046744842
104,0.071926594,-0.43014643,0.039900318,0.039369542
105,0.96473736,-0.03779599,0.06633924,0.054667946
106,0.039855335,0.14538503,0.06422027,0.07219947
107,0.020999458,0.15630586,0.11290146,0.08956983
108,-0.06131389,-0.07507685,0.27952865,0.2713429
109,0.036908675,-0.088786826,0.03652268,0.030868921
110,0.015099045,0.014702313,0.036930386,0.030341435
111,-0.056842074,0.06425783,0.036241394,0.027790565
112,0.00887486,-0.025864623,0.034563534,0.024976168
113,-0.591643,-0.40910646,0.05311423,0.04146659
114,-0.1126796,-0.06761311,0.10537733,0.08947638
115,-0.2153984,0.1846185,0.09356661,0.08294948
116,0.55407655,-0.31564862,0.053014413,0.034787443
117,-0.7318345,0.06779824,0.052532908,0.03702877
118,-0.0585125,0.383188,0.09742732,0.10200513
119,0.008394681,0.039632607,0.023243217,0.019941194
120,0.111119285,-0.22084054,0.0285003,0.023983752
121,0.015244022,-0.029963851,0.030701084,0.023814246
122,0.31988686,0.37454247,0.056705177,0.062532134
123,0.008834537,-0.14146565,0.07394775,0.0626557
124,-0.043199226,0.34683666,0.04130952,0.04134691
125,-0.034533247,-0.055477634,0.042655624,0.039009288
126,-0.18972869,0.06855431,0.12902775,0.11225866
127,-0.46679562,0.23761225,0.054299474,0.049705543
128,-0.013513569,-0.019262724,0.034289178,0.026841711
129,0.021495428,-0.15276672,0.12368608,0.12351644
130,-0.14745827,-0.05686842,0.116063274,0.11780239
131,-0.09668669,0.20754942,0.023622146,0.022873526
132,-0.016568232,-0.06487422,0.046908125,0.0388409
133,0.025203839,0.051536508,0.027853932,0.022776937
134,0.0038487837,-0.10366681,0.0318753,0.02628213
135,0.010588836,-0.048860878,0.034980092,0.028615842
136,0.026913304,-0.20540956,0.07503559,0.069591425
137,-0.5060655,0.12292582,0.042779442,0.031158637
138,0.1360526,0.106076814,0.056332495,0.0444105
139,0.04612213,-0.10340789,0.10883394,0.07871802
140,0.008170348,-0.055045426,0.07008617,0.079295926
141,-0.09700036,-0.02957587,0.034166146,0.026092082
142,-0.11305773,0.4090114,0.057711996,0.057650995
143,0.1634302,0.30106556,0.086932346,0.089485735
144,-0.03552619,0.088029474,0.041583546,0.035447855
145,0.30747178,-0.5543575,0.034500077,0.036315326
146,0.18742107,0.3342175,0.039093003,0.03928586
147,0.35161382,0.39295042,0.11320276,0.09380698
148,-0.25932533,-0.35309565,0.08472892,0.08161106
149,-0.13521826,0.12151423,0.030813796,0.024328431
150,-0.53916097,0.105269864,0.0465477,0.033619653
151,-0.29618198,-0.064747766,0.030311417,0.024527498
152,-0.01929427,0.12431147,0.04669482,0.039198395
153,0.05172402,-0.2758956,0.03900553,0.0354806
154,-0.13847047,0.21681803,0.22634612,0.22160889
155,-0.03602767,0.036186732,0.057059933,0.054526404
156,-0.056522205,-0.029577993,0.037840005,0.0279833
157,-0.17554325,0.053953182,0.06625378,0.062057104
158,0.07924549,-0.116136625,0.06039438,0.061359856
159,0.0042067803,-0.041401863,0.14212978,0.1400696
160,-0.060694143,0.03787174,0.035064008,0.029677903
161,0.6938494,0.14283924,0.077068865,0.070388146
162,-0.025052626,-0.4934362,0.0676111,0.07590574
163,-0.33399397,-0.19096598,0.04884428,0.039099764
164,0.029819049,-0.016110227,0.03621449,0.02659199
165,0.59577245,0.31457135,0.04224556,0.042444948
166,0.20117514,-0.025164373,0.06195812,0.048995532
167,-0.055116154,-0.084891215,0.0919699,0.084185645
168,-0.09627524,-0.05555658,0.028790025,0.022043312
169,0.7613834,0.0015534982,0.05256073,0.03817278
170,-0.79162174,0.080701545,0.06322547,0.044069003
171,-0.0401142,0.026289321,0.11689533,0.09779077
172,-0.23201762,0.02860573,0.14973547,0.11007891
173,-0.34524727,0.07252351,0.08321324,0.06008455
174,0.057821263,0.033003125,0.053562462,0.040655237
175,-0.06618132,0.036809515,0.09106415,0.081868276
176,0.010477003,0.04998211,0.03336388,0.027373372
177,-0.042546954,0.016271062,0.122231856,0.10836611
178,-0.027576732,-0.088109836,0.12143484,0.13335043
179,0.0036796816,0.16954088,0.13247703,0.17528196
180,0.0028771423,0.0029526874,0.037645884,0.030420043
181,-0.58157337,-0.5403148,0.058740404,0.054075535
182,-0.03439537,-0.15250674,0.089015976,0.08561193
183,0.6512154,0.6107801,0.07893345,0.0695872
184,0.02710434,-0.11045183,0.14761533,0.12455413
185,0.025178693,-0.015373208,0.029389367,0.02468302
186,0.024364676,-0.00680726,0.02569845,0.021455068
187,-0.21063867,0.3536736,0.29934555,0.3226025
188,0.152706,0.16285864,0.0429334,0.037869055
189,-0.1133855,0.6188867,0.08588856,0.10472101
190,-0.23584343,-0.1993579,0.13647705,0.120891
191,0.030945662,-0.026427329,0.057055537,0.05022311
192,-0.021350866,-0.010941096,0.05674032,0.05677626
193,-0.041770652,-0.0027931556,0.027327446,0.021142427
194,-0.010850303,0.050944015,0.026499696,0.02143387
195,-0.2498849,-0.037341267,0.056956667,0.042213514
196,-0.7116125,-0.20572129,0.057956487,0.04750609
197,-0.57329434,0.33916032,0.3540253,0.30399552
198,0.21164232,-0.062189683,0.26932856,0.17262128
199,0.029569168,0.09234472,0.044190526,0.039765816
200,0.006430898,-0.030972272,0.022049256,0.018959662
201,-0.330404,-0.13050584,0.13413602,0.114631474
202,0.19987112,0.12668782,0.06951963,0.0572174
203,-0.05762743,0.0015381724,0.042602044,0.0327839
204,-0.24546553,0.776297,0.061603084,0.0876389
