,e1_res_mean,e2_res_mean,e1_res_std,e2_res_std,e1_input,e2_input
0,0.16103137,-0.6514517,0.0018665099,0.0033272447,-0.19398495122508477,-0.6522742643945904
1,0.035480626,0.121064596,0.004382204,0.006223403,-0.059128624905946704,0.14032947848690508
2,-0.50614893,0.18895702,0.033828307,0.0126175685,0.48657878559783035,0.21229084655916786
3,-0.34092814,0.51120543,0.006012377,0.00921074,0.33367451927054065,0.5316336345154755
4,-0.030586092,-0.011345931,0.001594942,0.001630175,0.010735566403984936,-0.009122904172221396
5,-0.006317404,-0.11913718,0.0049554273,0.011131983,0.01205251631145268,-0.12952202756331932
6,-0.16313455,-0.08529349,0.0032598425,0.0022633716,0.16026977848317134,-0.08515772875872393
7,0.17052601,0.03959957,0.008279239,0.00327185,-0.22287576124947678,0.0429681950254577
8,-0.042500596,-0.08940931,0.003257466,0.0040669222,-0.016474300042647126,-0.09210534954328767
9,0.20357457,0.2578045,0.0038694541,0.0050633308,-0.21409297490728416,0.2612729796324253
10,-0.33977693,-0.73147,0.0023917048,0.003501471,0.3381981257126254,-0.7407845735768496
11,0.025000473,-0.007991866,0.0029672587,0.0036791693,-0.0454157435755677,-0.00893228076971114
12,0.17568934,-0.22344968,0.0017546548,0.0019490279,-0.1660926998484303,-0.22941068765727635
13,0.072448745,0.15078065,0.0025841082,0.003485136,-0.1151109958393064,0.16581389231356378
14,-0.02563879,-0.19316536,0.001619698,0.00330785,0.022871362646078364,-0.20370081530660655
15,0.0048572076,0.01862046,0.007186337,0.008427147,0.005068332397240529,0.03407684004492664
16,0.021429757,-0.036634967,0.001900778,0.001963756,-0.04242261776058352,-0.03604598124295677
17,-0.13780317,0.03858439,0.007372377,0.0025878514,0.13128443774854975,0.04092891944086169
18,-0.037612867,-0.0031214296,0.0034972217,0.0039749593,0.018528799526074283,-0.0017753513542543846
19,0.56074643,0.20866197,0.01474661,0.007044738,-0.5867294313360186,0.21690520798276733
20,0.08209423,-0.16562973,0.0023720819,0.0038407336,-0.1388540743501199,-0.17256386686766478
21,-0.2050347,-0.24800315,0.0064347256,0.007957163,0.2083574964495393,-0.2624536448506692
22,-0.05990207,-0.060881793,0.0038157774,0.0038640168,0.09009414236302504,-0.05823133960838734
23,-0.13168275,0.2983678,0.0026516428,0.0040523987,0.13776516989393828,0.3196112581361168
24,0.04844133,-0.04326717,0.0016762298,0.0017060824,-0.06327406550937582,-0.047165083774125954
25,-0.06360765,0.009441345,0.0034512468,0.0018536315,0.050317706095435046,0.008473566112729081
26,-0.13168275,0.2983678,0.0026516428,0.0040523987,0.13776516989393828,0.3196112581361168
27,-0.16172078,-0.03560449,0.0060747033,0.003094956,0.16089754849280347,-0.03681332438380293
28,-0.09929487,-0.21105507,0.0034047954,0.0059547815,0.03512278104023765,-0.22106317573429118
29,0.14079505,0.038848653,0.005244465,0.0025739558,-0.1828161365290007,0.039512802817050205
30,-0.042311437,0.025713688,0.0042356118,0.0045311707,-0.026335638046065812,0.032998981457348066
31,-0.06399156,-0.024936965,0.003873966,0.003486068,0.056404788505658096,-0.028089541868605582
32,-0.0059630806,-0.24904817,0.0014337754,0.004136668,-0.05677251536912779,-0.2556079170009189
33,-0.2911763,-0.10371024,0.010700796,0.004692386,0.31838645630984364,-0.11443098917196723
